,12.71,12.82,14.42,14.54,15.56,
delay,P1Sum,P2Sum,P3Sum,P4Sum,P5Sum,
0.0,45,45,45,45,45,
0.1,45,45,45,45,45,
0.2,45,45,45,45,45,
0.3,45,45,45,45,45,
0.4,45,45,45,45,45,
0.5,45,45,45,45,45,
0.6,45,45,45,45,45,
0.7,45,45,45,45,45,
0.8,45,45,45,45,45,
0.9,45,45,45,45,45,
1.0,45,45,45,45,45,
1.1,45,45,45,45,45,
1.2,45,45,45,45,45,
1.3,45,45,45,45,45,
1.4,45,45,45,45,45,
1.5,45,45,45,45,45,
1.6,45,45,45,45,45,
1.7,45,45,45,45,45,
1.8,45,45,45,45,45,
1.9,45,45,45,45,45,
2.0,45,45,45,45,45,
2.1,45,45,45,45,45,
2.2,45,45,45,45,45,
2.3,45,45,45,45,45,
2.4,45,45,45,45,45,
2.5,45,45,45,45,45,
2.6,45,45,45,45,45,
2.7,45,45,45,45,45,
2.8,45,45,45,45,45,
2.9,45,45,45,45,45,
3.0,45,45,45,45,45,
3.1,45,45,45,45,45,
3.2,45,45,45,45,45,
3.3,45,45,45,45,45,
3.4,45,45,45,45,45,
3.5,45,45,45,45,45,
3.6,45,45,45,45,45,
3.7,45,45,45,45,45,
3.8,45,45,45,45,45,
3.9,45,45,45,45,45,
4.0,45,45,45,45,45,
4.1,45,45,45,45,45,
4.2,45,45,45,45,45,
4.3,45,45,45,45,45,
4.4,45,45,45,45,45,
4.5,45,45,45,45,45,
4.6,45,45,45,45,45,
4.7,45,45,45,45,45,
4.8,45,45,45,45,45,
4.9,45,45,45,45,45,
5.0,45,45,45,45,45,
5.1,45,45,45,45,45,
5.2,45,45,45,45,45,
5.3,44,45,45,45,45,
5.4,44,44,45,45,44,
5.5,44,44,45,45,44,
5.6,43,44,45,45,44,
5.7,43,44,45,45,43,
5.8,43,43,45,45,43,
5.9,42,43,45,45,43,
6.0,42,43,45,45,43,
6.1,42,42,45,45,42,
6.2,42,42,45,45,42,
6.3,41,42,45,45,42,
6.4,41,42,45,45,41,
6.5,41,41,45,45,41,
6.6,40,41,45,45,41,
6.7,40,41,45,45,41,
6.8,40,40,45,45,40,
6.9,39,40,45,45,40,
7.0,39,40,45,44,40,
7.1,39,39,45,44,39,
7.2,39,39,45,43,39,
7.3,38,38,45,43,39,
7.4,38,38,45,42,38,
7.5,38,37,45,42,38,
7.6,37,37,45,42,38,
7.7,37,37,45,42,37,
7.8,37,36,45,41,37,
7.9,37,36,45,41,37,
8.0,36,35,45,41,37,
8.1,36,35,45,40,36,
8.2,36,34,45,40,36,
8.3,35,34,45,39,36,
8.4,35,34,45,38,35,
8.5,35,33,45,38,35,
8.6,34,33,44,37,35,
8.7,34,33,44,36,34,
8.8,34,32,43,36,34,
8.9,33,32,42,35,34,
9.0,33,32,42,34,34,
9.1,33,32,41,34,33,
9.2,33,31,40,33,33,
9.3,32,31,40,32,33,
9.4,32,30,39,32,32,
9.5,32,29,38,31,32,
9.6,31,29,38,31,32,
9.7,30,28,37,30,32,
9.8,30,28,36,29,31,
9.9,29,27,36,29,31,
10.0,28,26,35,28,31,
10.1,28,25,34,28,30,
10.2,27,24,34,27,30,
10.3,26,23,33,26,30,
10.4,25,22,32,26,30,
10.5,24,21,32,25,29,
10.6,23,20,31,24,28,
10.7,22,20,30,24,28,
10.8,21,18,30,23,27,
10.9,20,18,29,22,27,
11.0,18,17,28,22,27,
11.1,17,16,28,21,26,
11.2,16,15,27,20,26,
11.3,15,14,26,20,25,
11.4,14,13,26,19,24,
11.5,13,12,25,19,24,
11.6,12,11,24,18,23,
11.7,11,10,24,18,23,
11.8,10,10,23,17,23,
11.9,9,9,22,17,22,
12.0,8,8,22,16,22,
12.1,7,7,21,16,21,
12.2,6,6,20,15,21,
12.3,5,5,20,15,20,
12.4,4,4,19,15,20,
12.5,3,3,18,15,19,
12.6,2,2,18,15,19,
12.7,1,1,17,15,18,
12.8,1,1,16,15,18,
12.9,0,1,16,15,17,
13.0,0,0,15,15,17,
13.1,0,0,14,15,16,
13.2,0,0,13,15,16,
13.3,0,0,12,14,15,
13.4,0,0,11,12,15,
13.5,0,0,10,11,15,
13.6,0,0,9,10,15,
13.7,0,0,8,9,15,
13.8,0,0,7,8,15,
13.9,0,0,6,7,15,
14.0,0,0,5,6,15,
14.1,0,0,4,5,15,
14.2,0,0,3,4,15,
14.3,0,0,2,3,14,
14.4,0,0,1,2,13,
14.5,0,0,1,1,12,
14.6,0,0,0,1,11,
14.7,0,0,0,0,10,
14.8,0,0,0,0,9,
14.9,0,0,0,0,7,
15.0,0,0,0,0,6,
15.1,0,0,0,0,5,
15.2,0,0,0,0,4,
15.3,0,0,0,0,3,
15.4,0,0,0,0,2,
