,11.96,12.07,14.54,14.65,14.81,
delay,P1Sum,P2Sum,P3Sum,P4Sum,P5Sum,
0.0,45,45,45,45,45,
0.1,45,45,45,45,45,
0.2,45,45,45,45,45,
0.3,45,45,45,45,45,
0.4,45,45,45,45,45,
0.5,45,45,45,45,45,
0.6,45,45,45,45,45,
0.7,45,45,45,45,45,
0.8,45,45,45,45,45,
0.9,45,45,45,45,45,
1.0,45,45,45,45,45,
1.1,45,45,45,45,45,
1.2,45,45,45,45,45,
1.3,45,45,45,45,45,
1.4,45,45,45,45,45,
1.5,45,45,45,45,45,
1.6,45,45,45,45,45,
1.7,45,45,45,45,45,
1.8,45,45,45,45,45,
1.9,45,45,45,45,45,
2.0,45,45,45,45,45,
2.1,45,45,45,45,45,
2.2,45,45,45,45,45,
2.3,45,45,45,45,45,
2.4,45,45,45,45,45,
2.5,45,45,45,45,45,
2.6,45,45,45,45,45,
2.7,45,45,45,45,45,
2.8,45,45,45,45,45,
2.9,45,45,45,45,45,
3.0,45,45,45,45,45,
3.1,45,45,45,45,45,
3.2,45,45,45,45,45,
3.3,45,45,45,45,45,
3.4,45,45,45,45,45,
3.5,45,45,45,45,45,
3.6,45,45,45,45,45,
3.7,45,45,45,45,45,
3.8,45,45,45,45,45,
3.9,45,45,45,45,45,
4.0,45,45,45,45,45,
4.1,45,45,45,45,45,
4.2,45,45,45,45,45,
4.3,45,45,45,45,45,
4.4,45,45,45,45,45,
4.5,45,45,45,45,45,
4.6,45,45,45,45,45,
4.7,45,45,45,45,45,
4.8,45,45,45,45,45,
4.9,45,45,45,45,45,
5.0,45,45,45,45,45,
5.1,44,45,45,45,45,
5.2,44,44,45,45,44,
5.3,44,44,45,45,44,
5.4,43,44,45,45,44,
5.5,43,43,45,45,43,
5.6,43,43,45,45,43,
5.7,42,43,45,45,43,
5.8,42,43,45,45,42,
5.9,42,42,45,45,42,
6.0,41,42,45,45,42,
6.1,41,42,45,45,41,
6.2,41,41,45,45,41,
6.3,40,41,45,45,41,
6.4,40,40,45,45,40,
6.5,40,40,45,45,40,
6.6,39,40,45,45,40,
6.7,39,39,45,45,39,
6.8,39,39,45,45,39,
6.9,38,39,45,45,39,
7.0,38,38,45,45,38,
7.1,38,38,45,45,38,
7.2,37,38,45,45,38,
7.3,37,38,45,45,37,
7.4,36,37,45,45,37,
7.5,36,37,45,45,37,
7.6,35,36,45,45,36,
7.7,35,36,45,45,36,
7.8,34,35,45,45,36,
7.9,34,35,45,45,35,
8.0,34,34,45,45,35,
8.1,33,33,45,45,35,
8.2,33,33,45,45,34,
8.3,33,32,45,45,34,
8.4,32,31,45,44,34,
8.5,32,31,45,44,33,
8.6,32,30,45,44,33,
8.7,31,29,45,43,33,
8.8,31,29,45,43,32,
8.9,31,28,45,43,32,
9.0,30,27,45,42,32,
9.1,30,27,44,42,31,
9.2,29,26,44,42,31,
9.3,28,25,44,41,31,
9.4,27,25,43,40,30,
9.5,26,25,43,40,30,
9.6,25,23,43,40,30,
9.7,24,23,42,39,29,
9.8,23,22,42,38,29,
9.9,22,21,42,38,28,
10.0,21,20,40,37,28,
10.1,20,19,40,36,27,
10.2,19,18,39,36,27,
10.3,18,17,38,36,26,
10.4,17,16,38,35,26,
10.5,16,15,38,34,25,
10.6,15,15,37,34,25,
10.7,14,14,36,33,24,
10.8,13,13,34,32,24,
10.9,12,12,33,32,23,
11.0,11,11,32,32,23,
11.1,9,10,31,31,22,
11.2,8,9,30,30,22,
11.3,7,8,29,30,21,
11.4,6,7,28,29,21,
11.5,5,6,27,28,20,
11.6,4,5,26,28,20,
11.7,3,4,25,27,19,
11.8,2,3,24,26,19,
11.9,1,2,23,26,18,
12.0,1,1,22,25,18,
12.1,0,1,21,24,17,
12.2,0,0,21,24,17,
12.3,0,0,20,24,16,
12.4,0,0,19,23,16,
12.5,0,0,19,22,16,
12.6,0,0,18,22,15,
12.7,0,0,17,21,15,
12.8,0,0,17,20,15,
12.9,0,0,16,19,15,
13.0,0,0,16,18,15,
13.1,0,0,15,17,15,
13.2,0,0,15,16,15,
13.3,0,0,14,15,15,
13.4,0,0,13,14,15,
13.5,0,0,11,13,14,
13.6,0,0,10,12,13,
13.7,0,0,9,11,12,
13.8,0,0,8,9,11,
13.9,0,0,7,8,10,
14.0,0,0,6,7,9,
14.1,0,0,5,6,8,
14.2,0,0,4,5,7,
14.3,0,0,3,4,6,
14.4,0,0,2,3,5,
14.5,0,0,1,2,4,
14.6,0,0,1,1,3,
14.7,0,0,0,1,2,
