,4.98,7.24,7.48,9.81,
,P1Sum,P2Sum,P3Sum,P4Sum,
0.0,30,30,30,30,
0.1,30,30,30,30,
0.2,30,30,30,30,
0.3,30,30,30,30,
0.4,30,30,30,30,
0.5,30,30,30,30,
0.6,30,30,30,30,
0.7,30,30,30,30,
0.8,30,30,30,30,
0.9,30,30,30,30,
1.0,30,30,30,30,
1.1,30,30,30,30,
1.2,30,30,30,30,
1.3,30,30,30,30,
1.4,30,30,30,30,
1.5,30,30,30,30,
1.6,30,30,30,30,
1.7,30,30,30,30,
1.8,30,30,30,30,
1.9,30,30,30,30,
2.0,30,30,30,30,
2.1,30,30,30,30,
2.2,29,30,30,30,
2.3,29,30,29,30,
2.4,28,30,29,30,
2.5,28,30,28,30,
2.6,27,30,28,30,
2.7,26,30,27,30,
2.8,26,30,26,30,
2.9,25,30,26,30,
3.0,24,30,25,30,
3.1,24,30,24,30,
3.2,23,30,24,30,
3.3,22,30,23,30,
3.4,21,30,23,30,
3.5,20,30,22,30,
3.6,19,30,21,30,
3.7,18,29,21,30,
3.8,17,29,20,30,
3.9,17,28,19,30,
4.0,16,27,19,30,
4.1,14,27,18,30,
4.2,13,26,17,30,
4.3,12,26,17,30,
4.4,10,25,17,30,
4.5,9,24,17,30,
4.6,8,24,17,30,
4.7,6,23,17,30,
4.8,5,23,17,30,
4.9,4,22,17,30,
5.0,3,21,17,30,
5.1,2,21,17,30,
5.2,2,20,17,30,
5.3,2,19,17,30,
5.4,2,19,17,30,
5.5,2,18,17,30,
5.6,2,18,17,30,
5.7,2,17,17,30,
5.8,2,16,17,30,
5.9,2,16,17,30,
6.0,2,15,17,30,
6.1,2,15,17,30,
6.2,2,14,17,30,
6.3,2,13,17,30,
6.4,2,12,17,29,
6.5,2,10,15,28,
6.6,2,9,14,28,
6.7,2,8,13,27,
6.8,2,6,11,27,
6.9,2,5,10,26,
7.0,2,4,9,25,
7.1,2,2,7,25,
7.2,2,1,6,24,
7.3,2,1,5,23,
7.4,2,0,4,23,
7.5,2,0,3,22,
7.6,2,0,2,22,
7.7,2,0,2,21,
7.8,2,0,2,20,
7.9,2,0,2,20,
8.0,2,0,2,19,
8.1,2,0,2,19,
8.2,2,0,2,18,
8.3,2,0,2,17,
8.4,2,0,2,17,
8.5,2,0,2,16,
8.6,2,0,2,15,
8.7,2,0,2,15,
8.8,2,0,2,14,
8.9,2,0,2,13,
9.0,2,0,2,11,
9.1,2,0,2,10,
9.2,2,0,2,9,
9.3,2,0,2,7,
9.4,2,0,2,6,
9.5,2,0,2,5,
9.6,2,0,2,3,
9.7,2,0,2,2,
