,6.49,7.98,8.55,9.99,
,P1Sum,P2Sum,P3Sum,P4Sum,
0.0,30,30,30,30,
0.1,30,30,30,30,
0.2,30,30,30,30,
0.3,30,30,30,30,
0.4,30,30,30,30,
0.5,30,30,30,30,
0.6,30,30,30,30,
0.7,30,30,30,30,
0.8,30,30,30,30,
0.9,30,30,30,30,
1.0,30,30,30,30,
1.1,30,30,30,30,
1.2,30,30,30,30,
1.3,30,30,30,30,
1.4,30,30,30,30,
1.5,30,30,30,30,
1.6,30,30,30,30,
1.7,30,30,30,30,
1.8,30,30,30,30,
1.9,30,30,30,30,
2.0,30,30,30,30,
2.1,30,30,30,30,
2.2,30,30,30,30,
2.3,30,30,30,30,
2.4,30,30,30,30,
2.5,30,30,30,30,
2.6,30,30,30,30,
2.7,30,30,30,30,
2.8,30,30,30,30,
2.9,30,30,30,30,
3.0,30,30,30,30,
3.1,30,30,30,30,
3.2,30,30,30,30,
3.3,30,30,30,30,
3.4,30,30,30,30,
3.5,30,30,30,30,
3.6,30,30,30,30,
3.7,30,30,30,30,
3.8,29,30,29,30,
3.9,28,30,29,30,
4.0,28,30,28,30,
4.1,27,30,27,30,
4.2,26,30,27,30,
4.3,26,30,26,30,
4.4,25,30,25,30,
4.5,25,30,25,30,
4.6,24,30,24,30,
4.7,23,30,23,30,
4.8,23,30,23,30,
4.9,22,30,22,30,
5.0,20,29,21,30,
5.1,19,29,21,30,
5.2,18,28,20,30,
5.3,16,27,19,30,
5.4,15,27,19,30,
5.5,14,26,18,30,
5.6,12,25,17,30,
5.7,11,25,17,30,
5.8,10,24,16,30,
5.9,8,23,15,30,
6.0,7,22,15,30,
6.1,6,21,15,30,
6.2,4,20,15,30,
6.3,3,18,15,30,
6.4,2,18,15,30,
6.5,1,17,15,30,
6.6,0,17,15,29,
6.7,0,16,15,28,
6.8,0,15,15,28,
6.9,0,15,15,27,
7.0,0,14,15,26,
7.1,0,12,15,26,
7.2,0,11,15,25,
7.3,0,10,15,24,
7.4,0,8,15,24,
7.5,0,7,14,23,
7.6,0,6,13,22,
7.7,0,4,12,22,
7.8,0,3,10,21,
7.9,0,2,9,20,
8.0,0,1,8,20,
8.1,0,0,6,19,
8.2,0,0,5,18,
8.3,0,0,4,18,
8.4,0,0,3,17,
8.5,0,0,1,16,
8.6,0,0,1,16,
8.7,0,0,0,15,
8.8,0,0,0,15,
8.9,0,0,0,15,
9.0,0,0,0,14,
9.1,0,0,0,12,
9.2,0,0,0,11,
9.3,0,0,0,10,
9.4,0,0,0,8,
9.5,0,0,0,7,
9.6,0,0,0,6,
9.7,0,0,0,4,
9.8,0,0,0,3,
